Term,Description,Context
KATE,experiment (SPEDE)7. Ka band TT&C experiment,"Scientific Instruments:1. advanced Moon micro-imager experiment (AMIE)2. demonstration of a compact x-ray spec-trometer (D-CIXS)3. x-ray solar monitor4. SMART-1 infrared spectrometer (XSM) 5. electric propulsion diagnostic package (EPDP)6. spacecraft potential, electron and dust experiment (SPEDE)7. Ka band TT&C experiment (KATE) "
SMART,Missions for Advanced Research in Technology,Results: The Small Missions for Advanced Research  in Technology (SMART)-1 spacecraft was a tech 
ESOC,Space Operations Centre,"-trollers at the European Space Operations Centre  (ESOC) in Darmstadt, Germany, repeated burns of  "
ALICE,Scientific Instruments:Rosetta Orbiter: 1. ultraviolet imaging spectrometer,Launch Site: CSG / ELA-3 Scientific Instruments:Rosetta Orbiter: 1. ultraviolet imaging spectrometer (ALICE) 2. comet nucleus sounding experiment by radiowave transmission (CONSERT) 3. cometary secondary ion mass analyzer (COSIMA) 4. grain impact analyzer and dust accumula-tor (GIADA) 
CONSERT,(ALICE) 2. comet nucleus sounding experiment by radiowave transmission,Launch Site: CSG / ELA-3 Scientific Instruments:Rosetta Orbiter: 1. ultraviolet imaging spectrometer (ALICE) 2. comet nucleus sounding experiment by radiowave transmission (CONSERT) 3. cometary secondary ion mass analyzer (COSIMA) 4. grain impact analyzer and dust accumula-tor (GIADA) 
COSIMA,transmission (CONSERT) 3. cometary secondary ion mass analyzer,Launch Site: CSG / ELA-3 Scientific Instruments:Rosetta Orbiter: 1. ultraviolet imaging spectrometer (ALICE) 2. comet nucleus sounding experiment by radiowave transmission (CONSERT) 3. cometary secondary ion mass analyzer (COSIMA) 4. grain impact analyzer and dust accumula-tor (GIADA) 
GIADA,grain impact analyzer and dust accumula tor,Launch Site: CSG / ELA-3 Scientific Instruments:Rosetta Orbiter: 1. ultraviolet imaging spectrometer (ALICE) 2. comet nucleus sounding experiment by radiowave transmission (CONSERT) 3. cometary secondary ion mass analyzer (COSIMA) 4. grain impact analyzer and dust accumula-tor (GIADA) 
MIDAS,5. micro imaging dust analysis system,Scientific Instruments:Rosetta Orbiter: 1. ultraviolet imaging spectrometer (ALICE) 2. comet nucleus sounding experiment by radiowave transmission (CONSERT) 3. cometary secondary ion mass analyzer (COSIMA) 4. grain impact analyzer and dust accumula-tor (GIADA)  5. micro-imaging dust analysis system (MIDAS) 
MIRO,microwave instrument for the Rosetta orbiter," 5. micro-imaging dust analysis system (MIDAS)  6. microwave instrument for the Rosetta orbiter (MIRO) 7. optical, spectroscopic and infrared remote imaging system (OSIRIS) 8. Rosetta orbiter spectrometer for ion and neutral analysis (ROSINA)   "
OSIRIS,"7. optical, spectroscopic and infrared remote imaging system"," 5. micro-imaging dust analysis system (MIDAS)  6. microwave instrument for the Rosetta orbiter (MIRO) 7. optical, spectroscopic and infrared remote imaging system (OSIRIS) 8. Rosetta orbiter spectrometer for ion and neutral analysis (ROSINA)   "
ROSINA,Rosetta orbiter spectrometer for ion and neutral analysis," 5. micro-imaging dust analysis system (MIDAS)  6. microwave instrument for the Rosetta orbiter (MIRO) 7. optical, spectroscopic and infrared remote imaging system (OSIRIS) 8. Rosetta orbiter spectrometer for ion and neutral analysis (ROSINA)   "
RPC,Rosetta plasma consortium," 6. microwave instrument for the Rosetta orbiter (MIRO) 7. optical, spectroscopic and infrared remote imaging system (OSIRIS) 8. Rosetta orbiter spectrometer for ion and neutral analysis (ROSINA)   Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA) "
RSI,(RPC) 9. radio science investigation," 6. microwave instrument for the Rosetta orbiter (MIRO) 7. optical, spectroscopic and infrared remote imaging system (OSIRIS) 8. Rosetta orbiter spectrometer for ion and neutral analysis (ROSINA)   Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA) "
VIRTIS,10. visible and infrared thermal imaging spec trometer," 6. microwave instrument for the Rosetta orbiter (MIRO) 7. optical, spectroscopic and infrared remote imaging system (OSIRIS) 8. Rosetta orbiter spectrometer for ion and neutral analysis (ROSINA)   Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA) "
APXS,1. alpha proton x ray spectrometer," 6. microwave instrument for the Rosetta orbiter (MIRO) 7. optical, spectroscopic and infrared remote imaging system (OSIRIS) 8. Rosetta orbiter spectrometer for ion and neutral analysis (ROSINA)   Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA) "
COSAC,2. cometary sampling and composition instru ment," 6. microwave instrument for the Rosetta orbiter (MIRO) 7. optical, spectroscopic and infrared remote imaging system (OSIRIS) 8. Rosetta orbiter spectrometer for ion and neutral analysis (ROSINA)   Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA) "
CIVA,comet nucleus infrared and visible analyzer," 6. microwave instrument for the Rosetta orbiter (MIRO) 7. optical, spectroscopic and infrared remote imaging system (OSIRIS) 8. Rosetta orbiter spectrometer for ion and neutral analysis (ROSINA)   Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA) "
ROLIS,(CIVA) 5. Rosetta lander imaging system,"Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA)  5. Rosetta lander imaging system (ROLIS) 6. comet nucleus sounding experiment by radiowave transmission (CONSERT) 7. multi-purpose sensors for surface and sub-surface science (MUPUS) 8. Rosetta lander magnetometer and plasma monitor (ROMAP) 9. surface electric sounding and acoustic monitoring experiments (SESAME) 10. sample and distribution device (SD2)Results: Rosetta was a European deep space probe launched on an originally projected 11.5-year mis-sion to rendezvous, orbit, land, and study the 67P/ "
CONSERT,(ROLIS) 6. comet nucleus sounding experiment by radiowave transmission,"Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA)  5. Rosetta lander imaging system (ROLIS) 6. comet nucleus sounding experiment by radiowave transmission (CONSERT) 7. multi-purpose sensors for surface and sub-surface science (MUPUS) 8. Rosetta lander magnetometer and plasma monitor (ROMAP) 9. surface electric sounding and acoustic monitoring experiments (SESAME) 10. sample and distribution device (SD2)Results: Rosetta was a European deep space probe launched on an originally projected 11.5-year mis-sion to rendezvous, orbit, land, and study the 67P/ "
MUPUS,sensors for surface and sub surface science,"Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA)  5. Rosetta lander imaging system (ROLIS) 6. comet nucleus sounding experiment by radiowave transmission (CONSERT) 7. multi-purpose sensors for surface and sub-surface science (MUPUS) 8. Rosetta lander magnetometer and plasma monitor (ROMAP) 9. surface electric sounding and acoustic monitoring experiments (SESAME) 10. sample and distribution device (SD2)Results: Rosetta was a European deep space probe launched on an originally projected 11.5-year mis-sion to rendezvous, orbit, land, and study the 67P/ "
ROMAP,8. Rosetta lander magnetometer and plasma monitor,"Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA)  5. Rosetta lander imaging system (ROLIS) 6. comet nucleus sounding experiment by radiowave transmission (CONSERT) 7. multi-purpose sensors for surface and sub-surface science (MUPUS) 8. Rosetta lander magnetometer and plasma monitor (ROMAP) 9. surface electric sounding and acoustic monitoring experiments (SESAME) 10. sample and distribution device (SD2)Results: Rosetta was a European deep space probe launched on an originally projected 11.5-year mis-sion to rendezvous, orbit, land, and study the 67P/ "
SESAME,9. surface electric sounding and acoustic monitoring experiments,"Rosetta plasma consortium (RPC) 9. radio science investigation (RSI) 10. visible and infrared thermal imaging spec-trometer (VIRTIS)Philae: 1. alpha proton x-ray spectrometer (APXS) 2. cometary sampling and composition instru-ment (COSAC) 3. Ptolemy evolved gas analyzer 4. comet nucleus infrared and visible analyzer (CIVA)  5. Rosetta lander imaging system (ROLIS) 6. comet nucleus sounding experiment by radiowave transmission (CONSERT) 7. multi-purpose sensors for surface and sub-surface science (MUPUS) 8. Rosetta lander magnetometer and plasma monitor (ROMAP) 9. surface electric sounding and acoustic monitoring experiments (SESAME) 10. sample and distribution device (SD2)Results: Rosetta was a European deep space probe launched on an originally projected 11.5-year mis-sion to rendezvous, orbit, land, and study the 67P/ "
WAC,Wide Angle Camera,This image acquired by NASA™s Messenger spacecraft on  2 October 2013 by its Wide Angle Camera (WAC) shows  
MDIS,Scientific Instruments:1. Mercury dual imaging system,"-tory/Carnegie Institution of Washington Scientific Instruments:1. Mercury dual imaging system (MDIS)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. x-ray spectrometer (XRS)5. magnetometer (MAG)6. Mercury laser altimeter (MLA)7. Mercury atmospheric and surface composi-tion spectrometer (MASCS)8. energetic particle and plasma spectrometer (EPPS)9. radio science experiment (RS)Results: MESSENGER (Mercury Surface, Space Environment, Geochemistry, and Ranging) was  "
GRS,system (MDIS)2. gamma ray spectrometer,"-tory/Carnegie Institution of Washington Scientific Instruments:1. Mercury dual imaging system (MDIS)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. x-ray spectrometer (XRS)5. magnetometer (MAG)6. Mercury laser altimeter (MLA)7. Mercury atmospheric and surface composi-tion spectrometer (MASCS)8. energetic particle and plasma spectrometer (EPPS)9. radio science experiment (RS)Results: MESSENGER (Mercury Surface, Space Environment, Geochemistry, and Ranging) was  "
NS,spectrometer (GRS)3. neutron spectrometer,"-tory/Carnegie Institution of Washington Scientific Instruments:1. Mercury dual imaging system (MDIS)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. x-ray spectrometer (XRS)5. magnetometer (MAG)6. Mercury laser altimeter (MLA)7. Mercury atmospheric and surface composi-tion spectrometer (MASCS)8. energetic particle and plasma spectrometer (EPPS)9. radio science experiment (RS)Results: MESSENGER (Mercury Surface, Space Environment, Geochemistry, and Ranging) was  "
XRS,spectrometer (NS)4. x ray spectrometer,"-tory/Carnegie Institution of Washington Scientific Instruments:1. Mercury dual imaging system (MDIS)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. x-ray spectrometer (XRS)5. magnetometer (MAG)6. Mercury laser altimeter (MLA)7. Mercury atmospheric and surface composi-tion spectrometer (MASCS)8. energetic particle and plasma spectrometer (EPPS)9. radio science experiment (RS)Results: MESSENGER (Mercury Surface, Space Environment, Geochemistry, and Ranging) was  "
MAG,x ray spectrometer (XRS)5. magnetometer,"-tory/Carnegie Institution of Washington Scientific Instruments:1. Mercury dual imaging system (MDIS)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. x-ray spectrometer (XRS)5. magnetometer (MAG)6. Mercury laser altimeter (MLA)7. Mercury atmospheric and surface composi-tion spectrometer (MASCS)8. energetic particle and plasma spectrometer (EPPS)9. radio science experiment (RS)Results: MESSENGER (Mercury Surface, Space Environment, Geochemistry, and Ranging) was  "
MLA,magnetometer (MAG)6. Mercury laser altimeter,"-tory/Carnegie Institution of Washington Scientific Instruments:1. Mercury dual imaging system (MDIS)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. x-ray spectrometer (XRS)5. magnetometer (MAG)6. Mercury laser altimeter (MLA)7. Mercury atmospheric and surface composi-tion spectrometer (MASCS)8. energetic particle and plasma spectrometer (EPPS)9. radio science experiment (RS)Results: MESSENGER (Mercury Surface, Space Environment, Geochemistry, and Ranging) was  "
MASCS,Mercury atmospheric and surface composi tion spectrometer,"-tory/Carnegie Institution of Washington Scientific Instruments:1. Mercury dual imaging system (MDIS)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. x-ray spectrometer (XRS)5. magnetometer (MAG)6. Mercury laser altimeter (MLA)7. Mercury atmospheric and surface composi-tion spectrometer (MASCS)8. energetic particle and plasma spectrometer (EPPS)9. radio science experiment (RS)Results: MESSENGER (Mercury Surface, Space Environment, Geochemistry, and Ranging) was  "
