Term,Definitions
lower atmosphere,"Generally, and quite loosely, that part of the atmosphere in which most weather phenomena occur (i.e., the troposphere and lower stratosphere); hence, used in contrast to the common meaning for the upper atmosphere."
lower body negative pressure,Application and/or measurement of reduced pressure in the portion of the body below the iliac crests. Used as a simulator or orthostatic stress or as an indicator of cardiovascular deconditioning in a weightless environment.
Lower California (Mexico),
lower ionosphere,
LR-62-RM-2 engine,
LR-87-AJ-5 engine,
LR-91-AJ-5 engine,
LSSM,
lubricant tests,
lubricants,Substances interposed between two surfaces for the purpose of reducing the friction or wear between them.
lubricating oils,
lubrication,
lubrication systems,
Ludox (trademark),Composite material utilizing colloidal silica matrixes.
lugs,
lumbar region,
lumens,Units of luminous flux equal to the luminous flux radiated into a unit solid angle (steradian) from a point source having a luminous intensity of 1 candela.
luminaires,
luminance,"In photometry, a measure of the intrinsic luminous intensity emitted by a source in a given direction; the illuminance produced by light from the source upon a unit surface area oriented normal to the line of sight at any distance from the source, divided by the solid angle subtended by the source at the receiving surface. Also called brightness but luminance is preferred."
luminescence,Light emission by a process in which kinetic heat energy is not essential for the mechanism of excitation. Used for glow and noctilucence.
luminescent proteins,"Proteins which are involved in the phenomenon of light emission in living systems. Included are the ""enzymatic"" and ""non-enzymatic"" types of system with or without the presence of oxygen or co-factors."
luminosity,
luminous intensity,"Luminous energy per unit time per unit solid angle; the intensity (flux per unit solid angle) of visible radiation weighted to take into account the variable response of the human eye as a function of the wavelength of light; usually expressed in candles. Used for light intensity, luminescent intensity, and luminous flux density."
lumped parameter systems,"Systems in which the parameters may be considered to represent, for purposes of analysis, a single inductance, capacitance, resistance, etc., throughout the frequency range of interest."
lumping,
lunar albedo,
lunar atmosphere,
lunar based equipment,
lunar bases,
lunar communication,
lunar composition,
lunar construction equipment,
lunar core,
lunar craters,"A depression, usually circular, on the surface of the moon, usually with a raised rim called a ringwall."
lunar crust,
lunar dust,
lunar echoes,
lunar eclipses,The phenomenon observed when the moon enters the shadow of the Earth.
lunar effects,
lunar environment,
lunar equator,
lunar escape devices,
lunar evolution,
lunar excavation equipment,
lunar exploration,
Lunar Exploration System for Apollo,
lunar far side,
lunar figure,
lunar flight,
lunar flying vehicles,
lunar geology,"The science that applies geologic principles and techniques to the study of the moon, especially its composition and the origin of its surface features."
lunar gravitation,
lunar gravitational effects,
Lunar Gravity Simulator,
lunar laboratories,
lunar landing,
lunar landing modules,
lunar landing sites,
lunar launch,
lunar limb,
lunar logistics,
lunar luminescence,
lunar magnetic fields,
lunar mantle,
lunar maps,
lunar maria,
lunar mining,
lunar mobile laboratories,
Lunar Module,
Lunar Module 5,
Lunar Module 7,
Lunar Module Ascent Stage,
lunar observatories,
lunar occultation,
lunar orbit and landing simulators,
lunar orbital rendezvous,
Lunar Orbiter,
Lunar Orbiter 1,
Lunar Orbiter 2,
Lunar Orbiter 3,
Lunar Orbiter 4,
Lunar Orbiter 5,
lunar orbits,
lunar phases,
lunar photographs,
lunar photography,
lunar probes,Probes for exploring and reporting on conditions on or about the Moon.
lunar programs,
Lunar Prospector,
lunar radar echoes,
lunar radiation,
lunar rangefinding,
lunar rays,
lunar receiving laboratory,
Lunar Reconnaissance Orbiter,"Orbiter spacecraft and associated lunar mission to identify safe landing sites, locate potential resources, characterize the radiation environment, and demonstrate new technologies. Launched June 18, 2009."
lunar resources,
lunar retroreflectors,
lunar rocks,
lunar rotation,
lunar roving vehicles,
lunar satellites,
lunar seismographs,
lunar shadow,
lunar shelters,
lunar soil,
lunar spacecraft,
lunar surface,
lunar surface vehicles,
lunar temperature,
lunar tides,The parts of tides caused solely by the tide producing force of the moon.
lunar topography,
lunar trajectories,
lung morphology,
lungs,
Lunik 2 lunar probe,
Lunik 3 lunar probe,
Lunik 9 lunar probe,
Lunik 10 lunar probe,
Lunik 11 lunar probe,
Lunik 12 lunar probe,
Lunik 13 lunar probe,
Lunik 14 lunar probe,
Lunik 16 lunar probe,
Lunik 17 lunar probe,
Lunik 19 lunar probe,
Lunik 20 lunar probe,
Lunik 22 lunar probe,
Lunik lunar probes,Russian term for a space probe launched to the moon's vicinity or to impact on the Moon. Used for LUNA lunar probes.
Lunokhod lunar roving vehicles,
luster,The appearance characteristic of a specimen due to pronounced changes in intensity of light reflected from elemental areas of the specimen when the angle of illumination or view is changed. Used for dullness.
